Rating,Author,Author Location,Review Date,Review Title,Review,Type of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value for Money,Recommended Service
1.0,Amadu Seidu,United States,2024-10-27,appalling customer service experience,"Not Verified | Stranded, Ignored, and Betrayed: Ethiopian Airlines’ Customer Service Nightmare, Why This Airline Is the Last Choice You Should Make for Your Holiday Travel. Imagine standing at an airport, anxiously awaiting a call from a loved one who is finally coming home—suddenly, your phone rings—they are panicked, telling you they have been denied boarding. No explanation. No warning. Nothing. This happened to my elderly mother, a woman in her 80s with limited mobility, who Ethiopian Airlines inexplicably refused to board her long-awaited flight from Accra to Atlanta on August 17, 2024. A nightmare followed: an appalling customer service experience that left her stranded in Ghana while the airline ignored our pleas. If you are considering Ethiopian Airlines, especially for the holiday season, heed this warning: their customer service ranks among the worst in the industry. They operate with no accountability, no empathy, and no respect for the people who trust them. The Shocking Refusal: Abandoning an Elderly Passenger My mother had been planning her visit to the U.S. for months. We booked her Ethiopian Airlines flight, code CFNFQS, scheduled for August 17th, and even arranged for their “Meet and Assist” service, designed to offer wheelchair assistance and attentive care for elderly passengers. Every detail was prepared, every arrangement secured—or so we thought. But when she arrived at Kotoka International Airport in Accra, Ethiopian Airlines’ supervisor, (Edward A. Parker), blocked her from boarding. His vague reasoning? “Medical reasons”. However, he never explained further, nor did he provide any documentation or reach out to the family member who booked her ticket. The airline’s silence was chilling. Ethiopian Airlines had both my contact information and the option to explain why a paying, elderly customer with limited mobility was suddenly unfit to board. Yet they did nothing. No call, no email, no apology. Their complete disregard for my mother’s distress in Ghana went beyond poor customer service. It was inhumane. Desperate for Answers: Two Months of Silence In the aftermath, I contacted Ethiopian Airlines repeatedly, reaching out through every possible channel: emails to their CEO, messages to customer service, and calls to their Accra airport management. Surely, I thought, they would want to address such an egregious oversight. I was wrong. Weeks turned into months without a single response. The silence was deafening. Initially, I connected with Mrs. Meron Masresha, the Team Leader at Ethiopian Airlines' Global Customer Interaction Center at Bole International Airport. She forwarded my complaint to Mr. Abiy Solomon, the Accra Airport Services Manager, who even requested my nephew’s contact details to discuss the incident directly. After I provided them, Ethiopian Airlines vanished once again—no follow-up, no email, no acknowledgment. It was as though my mother’s traumatic experience did not exist. A Blatant Breach of Trust This debacle extended beyond a simple inconvenience; it shattered the very foundation of trust. Ethiopian Airlines’ refusal to respond or provide even basic compensation reveals their blatant disregard for their customers. Their policies state that denied boarding compensation applies when a passenger meets all check-in requirements and is refused boarding for reasons beyond their control. My mother fulfilled every requirement, yet received no compensation, no refund, and no answers.",Solo Leisure,Economy Class,Accra to Atlanta via Bole,2024-08-01,1.0,1.0,0.0,0.0,1.0,1,no
10.0,Annie Wegner LeFort,United States,2024-10-26,appreciative of his persistence,"Not Verified | Because of a very tight connection on our return we had a feeling we might struggle with our luggage arriving on time. None of our bags arrived in Chicago, three were returned to us within 2 days and the 3rd was lost for 3 weeks. While this was inconvenient and frustrating, I am incredibly grateful for the help of customer service agent Frew. He worked very closely with me for those three weeks keeping me posted as best he could on the whereabouts of my suitcase, which we learned had been misdirected. Just when I thought I'd lost my bag forever, Frew called to tell me it'd been found. I am appreciative of his persistence to my case and was overjoyed to reunite with my luggage. He remained optimistic and focused, which helped me to stay calm about this situation.",Solo Leisure,Economy Class,Chicago to Johannesburg via Addis Ababa,2024-09-01,5.0,5.0,5.0,5.0,4.0,5,yes
1.0,Ramon Van der Rassel,United States,2024-08-25,the most terrible company,"Not Verified |  I started my trip at Antananarivo to Brussels, with a stop in Addis Ababa. At the airport of Antananarivo they could not give me a boarding card for the flight from Addis Ababa to Brussels. They told me to get a boarding card at Addis Ababa airport, but they checked in my luggage to Brussels. At Addis Ababa airport there were many people with problems as I had to wait for 2 hours at the customer service desk. They gave me a stand by ticket and said it would be no problem to get a seat, this was lie number 1. On the boarding card gate A10 was mentioned while on the screens B5 would be the gate to board for the flight ET730. I have asked customer service several times what the correct gate would be. They kept saying the correct gate was A10, even when boarding already started at B7, which was mentioned nowhere and was not on the screens, not even on the screen of gate B7, this was lie number 3. All customers with a stand by ticket, had to wait. Then they closed the door  and the plane left without many standby by ticket travellers. Our seats were not secured, the plane was overbooked.  After the plane left a supervisor promised us he would take care of an alternative flight, our luggage, compensation, and a place to sleep. Then he ran off and did nothing for us.  According to the policy of Ethiopian Airlines they should offer us a hotel to stay. After a few hours I finally managed to get a boarding pass for a flight one day later. I had to spend the night and day at the airport, got no food or drinks, nothing. Ethiopian Airlines is by far the most terrible company I have had a flight with, or actually no flight with. The personnel are extremely rude and keep lying.",Solo Leisure,Economy Class,Antananarivo to Brussels via Addis Ababa,2024-08-01,0.0,0.0,0.0,0.0,1.0,1,no
10.0,T Neumann,United States,2024-08-22,staff very welcoming and supportive,"Not Verified | As disclaimer, I am a big fan of Ethiopian Airlines. They have such an amazing route network, and I just like the spirit onboard. On this trip, I once again was very happy with my choice. Here is why: The ticket fare was decent (and way cheaper than a major competitor), the flight times are just perfect (but I can easily sleep in planes), I liked the food and beverage service (incl. Habesha beer), the staff is very welcoming and supportive, and the coffee stop-over in Addis priceless. As an added (and very smart) bonus a free train ticket is included, so no need for silly short-distance flights to reach Frankfurt. OK, in-flight entertainment is just ok-ish, but I couldn't care less. I do look forward to my next trip with this airline.",Solo Leisure,Economy Class,Libreville to Frankfurt via Addis Ababa,2024-07-01,4.0,5.0,5.0,3.0,5.0,5,yes
3.0,K Foard,United States,2024-08-07,airline is NEVER on time,Not Verified | This airline is NEVER on time. Sadly there is no other choice to fly within the country and why they do not care for keeping to schedules. I have had bags not loaded on another trip with 2 hours sitting on the runway in Addis. They never give passengers any information about what is happening. Really bad customer service and not a good airline. Thankfully the in staff are lovely but don't fly with them if you are help it,Solo Leisure,Economy Class,Harar to Addis Ababa,2024-08-01,3.0,4.0,2.0,1.0,2.0,2,no
2.0,Azhar Amine,United States,2024-08-02,did not load my luggage,Not Verified | They did not load my luggage despite getting to the airport 3 hours before travel time. I got to Nairobi and my Luggage was on its way to Addis but only got it 3 days later.,Solo Leisure,Premium Economy,London to Nairobi via Addis Ababa,2024-07-01,3.0,1.0,1.0,1.0,1.0,1,no
1.0,Helen Osborne,United States,2024-07-24,they won't respond,"✅ Trip Verified |  On their website they claim excellent customer service, daily updates on lost luggage and USD 100 compensation. I have received none of the above. 76 hours after landing, nothing. Don't bother to email, they won't respond. On a much smaller note, don't bother to pay extra for a special meal, mine wasn't booked.",Solo Leisure,Economy Class,Cape Town to Gatwick via Addis Ababa,2024-07-01,1.0,1.0,1.0,1.0,1.0,1,no
1.0,L Gan,United States,2024-06-21,the luggage was never loaded,"✅ Trip Verified |  Our flight ET629 was delayed by over 5 hours owing to bad weather, resulting in our missed connection to Kigali. To cut a long story short, it was a nightmare to get ourselves on the next available flight. They had inexplicably put us on the following morning’s flight which would have meant that we missed 2 days of our tour instead of 1. They had the audacity initially to ask for additional payment of USD250 each for the earlier flight when we were prepared to downgrade from business to economy!. It was only with the intervention of 1 kind staff in ADD airport, that we managed ultimately to get on the next flight to Kigali. Arriving well past mid-night, we had a rude shock when we realised our luggage did not make it. This despite our conscientious checks at every leg of the travel with the ET staff. Every single one claimed that our luggage was loaded. It turned out that either every single one lied or the system was wrong. Through Star Alliance, we subsequently realised the luggage was never loaded in the first place from Bangkok. Adding insult to injury, not once did ET  apologize for the ordeal or contact us. We only learnt that our luggage arrived the next morning when the Rwanda Lost Luggage personnel called our agent to inform him. We requested ET to provide us with official confirmation of the various delays (in support of our insurance claims) and was again sent on a “not so merry go round” with again “sympathetic noises made” but no action or follow up. On the return flight, they refused to check in our luggage to the final destination in Singapore, claiming that they could not do so as our final leg was with Singapore Airlines. This despite the fact that Singapore Airlines is part of Star Alliance. It should be noted that Singapore Airlines was able to check our luggage in from Singapore to Kigali. In a separate call with Singapore Airlines, the staff confirmed that ET should have checked the luggage in all the way to Singapore. So again, we were severely stressed as we had to clear customs in Bangkok, collect our bags and check in again for our flight to Singapore. All to be done within 2 hours. Lo and behold, we ran to the luggage belt only wait and subsequently see “Delayed Baggage” - no explanation, no apology. It was nothing short of a miracle for us to eventually make it on our Singapore Airline flight.  To be fair, the service from the crew on board was good, the food was fair and the beverages good. But the rest of the ground staff (other than the one solitary gem - Amen) are a disgrace. I will not recommend anyone to take this airline.",Solo Leisure,Business Class,Bangkok to Kigali via Addis Adaba,2024-06-01,2.0,3.0,2.0,0.0,1.0,1,no
4.0,Dr Caleb Moyo,United States,2024-06-20,Luggage is never on schedule,"Not Verified | I lost part of luggage from the duty free shop from Bole to Buq, got into contact with the Doha office. The gentlemen promised to look into my issue and said it would take time. Nothing has been said about that. Recently I requested to change my travel dates and to my surprise I was charged QR 150 yet there were still 7 days before departure. The attendant called it a penalty. I thought I had come in early but alas. Luggage is never on schedule and yet there are no concessions. If you are paying by card there is a 10.0% surcharge they actually want cash. We cannot be forced to give them cash through shady rules. I await a day when there will be more flights on the African routes and we will see who will be stuck to blood suckers.",Family Leisure,Economy Class,Bulawayo to Hamad via Addis Ababa,2023-08-01,3.0,4.0,2.0,1.0,2.0,5,no
1.0,E Thane,United States,2024-06-10,Boeing 737 MAX 8 which is not ideal,"✅ Trip Verified |  I travel almost every weekend between Addis and Joburg. I have no choice but to use ET airlines as they have the only direct flights between these locations. First concern is that they use the Boeing 737 MAX 8 which is not ideal for international flights.  No entertainment for economy class for 5 hours, the lavatories  malfunction. On some occasions, ET will place us on the big Boeing with screens and entertainment, but my screen wouldn't work ... the flight attendant offered me the worst seat (next to the toilet). I declined, and she wasn't even bothered, no apology. The final stroke is when they wanted to take our hand luggage because there was no space in the plane. I don't think they respect the passengers going to South Africa.",Business,Economy Class,Addis Ababa to Johannesburg,2024-06-01,1.0,2.0,0.0,0.0,1.0,1,no
2.0,K Markume,United States,2024-06-03,not be able to leave the airport,"✅ Trip Verified |  I communicated with the airline in advance that I would not be able to leave the airport because I was traveling with an emergency travel document If I bought the 10-hour layover in Addis Ababa from New York's final destination Namibia. The airline as per their policy offered me an in-terminal hotel. On check-in at JFK New York, the agent offered me a voucher for a Presidential hotel. I reiterated that I would not be able to leave the airport. She then said I could change my voucher on arrival in Addis Ababa at the customer service desk. My first experience in flight started with my screen being damaged with lines across the screen, seat 24H. I stayed in the same seat during our layover in Abidjan. On arrival in Addis, I was referred to the Interlink office. I have never been so belittled by a Customer service agent who had the nerve to tell me it was not his fault my passport was not valid. He went on to dismiss me and walked away as I was trying to get answers. His final response was that the Skyline hotel in the terminal was for business class travelers only. Two days ago, I looked at this hotel, and it would have cost me $75 for 5 hours. He offered me dinner and a public bench for 10 hours. I walked back to the customer service desk who offered me access to the gold lounge. He took me to a quiet room I could use, and as a woman, he allowed me to sleep in a darkened room with 4 strange men. I am sitting and writing this in the lounge trying to stay awake for the next 6 hours before my last leg to Windhoek. The food in the lounge is dry, The bar that's supposedly open 24 hours is closed.",Solo Leisure,Economy Class,New York to Addis Ababa,2024-06-01,1.0,3.0,2.0,1.0,1.0,1,no
1.0,N Hasseyn,United States,2024-05-27,a nightmare of a trip,"✅ Trip Verified |  Ethiopian airlines changed my flight ET844 from the 26th May to 28th May without informing me, I only realised they did that less than 24hrs, I called the call center and they could confirm changing my first leg from CPT to ADD, however they said they are waiting for confirmation from Egyptair because they operate the next leg from ADD to Cairo ( according to my original booking that should have been ET 452). I go to the airport CPT and they say it will be confirmed when I arrive in ADD. I arrive in ADD and they tell me my booking is confirmed but I will get my boarding pass at the gate and I have to wait in the airport for 7.10 hours. I told the officer please if my ticket is not confirmed then I can take the next day flight and get an hotel, he said no you are on this flight. 6 hrs later I go to the gate at 4 am (departure at 5.15am) and the woman at the gate A8 was the least helpful and very rude person, she refused to call interline and told me I am not on this flight and go sort it myself. I spoke to Egyptair and he told me its not my problem it is Ethiopian Airlines mess to sort out. At the end I had to wait for Interline officers to arrive, and they booked me on the next day's flight at 10pm, so I had to spend 24hrs in ADD airport. This was a nightmare of a trip.",Couple Leisure,Economy Class,Cape Town to Addis Ababa,2024-02-01,1.0,1.0,1.0,3.0,1.0,1,no
2.0,W Malken,United States,2024-05-21,complicated process of trying to cancel,✅ Trip Verified |  The website check out process is faulty. After several attempts to book the website generated error messages and no booking or confirmation. Later I found out that they had reserved several thousand dollars and created several bookings without my knowledge. This led to a complicated process of trying to cancel and retrieve my money. Their customer service was bad and had no apology. Nor were they helpful in deleting/altering the multiple bookings that were incorrect.,Solo Leisure,Economy Class,Stockholm to Lusaka via Stockholm,2024-05-01,2.0,2.0,0.0,0.0,2.0,1,no
2.0,Peter Murimi,United States,2024-05-20,wrote several emails and no response,"✅ Trip Verified |  I flew from Kuala Lumpur to Addis Ababa with a brief stop over at Singapore then proceeded to Addis then connect to Nairobi via a different aircraft, ET318. I lost my luggage and launched a property irregularity report at JKIA Nairobi where I was provided a file reference number and online site to track it. A week went and no update. Their 'check status of the bag and manage file online' platform allows for editing and adding information to help trace the bag. I did all this, and after some days wrote a message in the same platform but no one responded back. I went to the Ethiopian website and located contact numbers for lost baggage plus email address. I tried the numbers listed and no one was picking. I wrote several emails and no response. This is the worst experience for Ethiopian Airlines having an online platform that is just there to fool the customers whereas there is no one who monitors it, and if there is, then they are just lousy.  A month is gone and up to date no feedback and no one to reach out to.",Couple Leisure,Economy Class,Kuala Lumpur to Nairobi via Addis Ababa,2024-05-01,2.0,3.0,2.0,1.0,1.0,1,no
7.0,E Meade,United States,2024-05-11,cabin crew were truly amazing,"Not Verified |   I normally don’t do reviews but today was exceptional because after a long time of losing hope on Ethiopian Airlines provided services and the service givers today I got to encounter something that has made me restore my hope on them again. We flew from Bangkok to Addis and our cabin crew were truly amazing, especially Jaleni, she was the reason I had to write this review. She greeted us with a spectacular smile and while in flight she took her time to treat everyone patiently and made sure we were truly comfortable. Honestly I was amazed to experience this because normally our flights with Ethiopian Airlines has to encounter with a situation that would disappoint us but this flight with The whole cabin crew on that flight were superb.",Family Leisure,Business Class,Bangkok to Addis Ababa,2024-05-01,2.0,4.0,4.0,4.0,2.0,4,no
4.0,P Watson,United States,2024-05-03,the worst I’ve experienced,"✅ Trip Verified | The quality of aircraft, food, entertainment and ground service are one of the worst I’ve experienced. Service is always friendly in the air though. The seat (business class) was dirty and the power did not work. The entertainment system must have been 15 years old with almost no new entertainment options. The food was overall pretty terrible - dry and weird tasting. I could not eat most of it. No wifi entire flight even though it was advertised. Addis airport is a mess. Dirty and crowded. Very disorganized.",Business,Business Class,Washington to Kigali via Addis Ababa,2024-05-01,1.0,3.0,1.0,1.0,1.0,2,no
1.0,Terence Letley,United States,2024-05-02,not having my luggage,"✅ Trip Verified |  Lost luggage was sent to Malabo but we were nor informed and the luggage was not updated on the system. Been washing and wearing wet clothes each morning. Will never fly with them again. As an offshore worker, not having my luggage, equipment to do my job is inside, and deodorant etc is really a horrible situation. Cannot believe that the airline has become so shockingly useless.",Business,Economy Class,Johannesburg to Malabo via Addis Ababa,2024-04-01,2.0,2.0,2.0,1.0,1.0,1,no
10.0,Frank Rispin,United States,2024-04-29,Another brilliant flight,Not Verified |   Another brilliant flight. Sensible meal after 00.20 take off from Addis Breakfast large at 05.00. Everything fine. Arrived 3 minutes late. Fly very regularly with ET both from London and within Ethiopia Also flew to Windhoek and back from Cape Town in March.,Couple Leisure,Economy Class,Addis Ababa to London Gatwick,2024-04-01,5.0,5.0,5.0,5.0,4.0,5,yes
3.0,E Roest,United States,2024-04-18,ultimately delayed by 4 hours,"✅ Trip Verified |  This flight was ultimately delayed by 4 hours, which caused several things to go wrong during our further journey. Firstly, a 1 hour delay was announced due to 'technical problems', then another 1 hour due to 'staff problems'. Then it is said that the flight has been moved to 4:30, so an additional 2 hours. After this, water and dinner are provided, for which thanks, but we can hardly sit anywhere. You are not allowed to take a seat in restaurants in the area. This should have been communicated between employees and a plan made. We then leave unclear what will happen next with the adjacent flight that we will miss; this was the 7 hour flight from Vienna to Amsterdam. An employee says they are going to rebook and we are receiving emails. We never received this. We arrive in Vienna and here Austrian airlines can solve it for you. They book a flight to Amsterdam via Frankfurt, which is first delayed to 7:30 PM and later cancelled. This leaves us stuck in Frankfurt. Then we had to rebook again to come to the Netherlands. We received this via Hannover, 9:10 on April 16. Initially there was no hotel included and we had to call Ethiopian airlines. Called this and the employee on the other end seemed to have poor English or had difficulty understanding us due to the connection. We understood her clearly. She tells us that ET has no accommodation and so we have to be on our own. Fortunately, we were still able to get a hotel voucher with dinner and breakfast from KLM. So they had provided something. A received respons from ET said this: First of all, we would like to thank you for choosing Ethiopian Airlines for your trip to Africa. We are deeply sorry and want to apologize for the inconveniences caused to you by the delay of flight ET 724 on 14.04.2024 from Addis Ababa Vienna. Of course, this does not comply with the high expectations of quality and service that Ethiopian Airlines promises and that our customers can expect on all of our flights. Regarding your claim for compensation due to the delay of the flights, we are sorry to tell you that Ethiopian Airlines is not able to meet your demands. The EG No. 261/2004 act from 17th December 2004 Art. 9 and the verdict of the EuGH from 19th November 2009 refer only to domestic flights or flights that depart from EU-countries and airlines that are registered in the EU. The settlement regarding compensation payment unfortunately is not applicable in your case which means that Ethiopian Airlines is not liable for compensation. Thank you for understanding that we cannot give any refunds for neither lump-sum payments nor subsequent damages like missed holidays or appointments. It is our utmost concern that you can put your trust in Ethiopian Airlines again on future flights, where we would be happy to prove our reliability to you once again. Please feel free to contact us if you have any further questions. Never again.",Couple Leisure,Economy Class,Addis Ababa to Vienna,2024-04-01,3.0,5.0,5.0,4.0,1.0,2,no
2.0,Simon Castleman,United States,2024-04-09,onboard team were pleasant enough,"Not Verified |   The Boeing 787-8 is dated, the seat doesn’t recline fully flat. The A350 with the 1-2-1 configuration is a fully flat seat with a reasonable amount of room. The IFE selection is limited. Ethiopian have a deserved reputation for short notice changes. Despite checking in 48 hours in advance on arrival at VFA we were told our seats had been changed. When we got to Addis Ababa on boarding we were moved again to my least preferred seats. Having spoken to their customer service people or more than one occasion and explaining to them we wanted a window seat, to be put in the middle two seats is not acceptable. The onboard team were pleasant enough. They may have a low price point but I won't fly with them again unless there is no realistic alternative.",Couple Leisure,Business Class,Victoria Falls to London via Addis Ababa,2024-04-01,2.0,3.0,2.0,1.0,1.0,2,no
9.0,I Mailes,United States,2024-03-21,express my heartfelt appreciation,"✅ Trip Verified |  I would like to express my heartfelt appreciation for the outstanding service provided by the cabin crews Netsanet and Selamaulif of Ethiopian Airlines. Their dedication and professionalism were truly remarkable. The experience exceeded my expectations. The service, efficiency, and overall experience were commendable. Upon my return to India, I informed the cabin crew about my fasting, and I was touched by their caring and attentive service.",Business,Economy Class,Lagos to Addis Ababa,2024-03-01,4.0,5.0,5.0,4.0,5.0,4,yes
10.0,Frank Rispin,United States,2024-03-16,Lovely meal,"Not Verified |   Feb 28 Addis to Windhoek.8.35. No need to get to Bole before 060.00. Quiet period for international departures. Nice breakfast in departures. No security check at gate, does ET trust Namibian bound folk? Max 737 but ok. Windhoek airport very small and quiet. Return to Addis from Cape Town March 13th. Superb 30 mins early., Boeing 787. Lovely meal. Addis arrivals very efficient. Only snag is Screens in these now 10yr old Boeing 787s, 2 of 3 in our row not working",Couple Leisure,Economy Class,Cape Town to Addis Ababa,2024-03-01,5.0,5.0,5.0,2.0,5.0,5,yes
